State,City,Income Group,Age Group,Daily Commute (km),EV Awareness Score,Charging Stations Density (per 100 sq km),Preferred EV Type,Govt Incentive Awareness,EV Sales (2024),ICE to EV Switch (%),Target Segment
Karnataka,Bangalore,Low,26-35,21,5.1,5,Truck/Commercial,No,3877,13.5,Budget Segment
Karnataka,Bangalore,Low,18-25,22,5.2,14,Sedan/SUV,Yes,14633,14.4,Budget Segment
Karnataka,Bangalore,High,18-25,6,8.7,17,Scooter/Bike,No,11330,9.1,General Segment
Karnataka,Bangalore,Mid,26-35,7,8.8,3,Scooter/Bike,No,10460,18,Mid-range Consumer
Karnataka,Bangalore,Mid,50+,40,5.3,13,Scooter/Bike,Yes,5235,6,Frequent Commuter
Karnataka,Bangalore,High,50+,12,8.9,4,Sedan/SUV,No,9065,18.8,Premium Segment
Karnataka,Bangalore,Low,50+,31,7.5,10,Sedan/SUV,No,11048,16.7,Budget Segment
Karnataka,Bangalore,Mid,50+,23,5.7,10,Sedan/SUV,Yes,11854,15.2,Frequent Commuter
Karnataka,Bangalore,Low,50+,20,6.8,20,Scooter/Bike,No,2393,10,Budget Segment
Karnataka,Bangalore,Low,18-25,38,6.2,18,Truck/Commercial,No,13144,8.4,Budget Segment
Karnataka,Bangalore,Mid,36-50,36,7.9,3,Sedan/SUV,Yes,4751,14.4,Frequent Commuter
Karnataka,Bangalore,Mid,26-35,28,6.9,10,Truck/Commercial,No,12171,14,Frequent Commuter
Karnataka,Bangalore,Low,18-25,28,9.2,17,Truck/Commercial,Yes,8215,10.2,Budget Segment
Karnataka,Bangalore,Mid,36-50,33,5.1,11,Truck/Commercial,No,9829,11.8,Frequent Commuter
Karnataka,Bangalore,Mid,50+,32,5.1,7,Scooter/Bike,Yes,9050,5.6,Frequent Commuter
Karnataka,Bangalore,Low,36-50,20,7.6,20,Truck/Commercial,No,14592,14.5,Budget Segment
Karnataka,Bangalore,High,36-50,32,8.5,8,Sedan/SUV,Yes,5686,12.5,Premium Segment
Karnataka,Bangalore,Mid,50+,8,5.1,5,Truck/Commercial,No,14892,17.5,Mid-range Consumer
Karnataka,Bangalore,Mid,18-25,13,8.1,17,Scooter/Bike,Yes,10341,14,Mid-range Consumer
Karnataka,Bangalore,Low,50+,33,5.9,14,Scooter/Bike,Yes,4358,16,Budget Segment
Karnataka,Bangalore,Low,26-35,17,9.2,18,Truck/Commercial,No,8969,14.3,Budget Segment
Karnataka,Bangalore,High,50+,13,7.1,14,Truck/Commercial,No,13666,7.2,General Segment
Karnataka,Bangalore,Mid,26-35,7,8.8,19,Scooter/Bike,Yes,6214,5.7,Mid-range Consumer
Karnataka,Bangalore,Mid,36-50,11,8.2,13,Sedan/SUV,Yes,5911,9.4,Mid-range Consumer
Karnataka,Bangalore,High,18-25,25,7.3,18,Truck/Commercial,No,4076,5.6,General Segment
Karnataka,Bangalore,Low,50+,19,5,9,Scooter/Bike,Yes,7270,16.6,Budget Segment
Karnataka,Bangalore,Mid,36-50,25,7.3,12,Sedan/SUV,Yes,11635,7.7,Frequent Commuter
Karnataka,Bangalore,High,26-35,28,7.3,19,Truck/Commercial,Yes,2965,19,General Segment
Karnataka,Bangalore,High,18-25,30,7.7,4,Scooter/Bike,Yes,7066,16.5,General Segment
Karnataka,Bangalore,Low,50+,38,9.3,6,Truck/Commercial,No,6041,8.6,Budget Segment
Karnataka,Bangalore,High,50+,6,7.4,3,Scooter/Bike,No,8437,19.8,General Segment
Karnataka,Bangalore,High,18-25,30,8.2,12,Scooter/Bike,No,7177,16.4,General Segment
Karnataka,Bangalore,Low,26-35,11,8.3,6,Scooter/Bike,No,6988,16.1,Budget Segment
Karnataka,Bangalore,Mid,50+,26,7.6,5,Scooter/Bike,Yes,4440,11.8,Frequent Commuter
Karnataka,Bangalore,Mid,26-35,18,7.8,8,Sedan/SUV,Yes,5591,13.3,Mid-range Consumer
Karnataka,Bangalore,Low,50+,35,7.7,12,Scooter/Bike,Yes,14096,6.1,Budget Segment
Karnataka,Bangalore,High,50+,11,6.9,11,Truck/Commercial,Yes,2753,7.5,General Segment
